Spistillat_645	Spi_isotig00630
Spistillat_646	Spi_isotig00631
Spistillat_647	Spi_isotig00632
Spistillat_648	Spi_isotig00633
Spistillat_649	Spi_isotig00634
Spistillat_650	Spi_isotig00635
Spistillat_651	Spi_isotig00636
Spistillat_652	Spi_isotig00637
Spistillat_653	Spi_isotig00638
Spistillat_654	Spi_isotig00639
Spistillat_655	Spi_isotig00640
Spistillat_656	Spi_isotig00641
Spistillat_657	Spi_isotig00642
Spistillat_658	Spi_isotig00643
Spistillat_659	Spi_isotig00644
Spistillat_660	Spi_isotig00645
Spistillat_661	Spi_isotig00646
Spistillat_662	Spi_isotig00647
Spistillat_663	Spi_isotig00648
Spistillat_664	Spi_isotig00649
Spistillat_665	Spi_isotig00650
Spistillat_666	Spi_isotig00651
Spistillat_667	Spi_isotig00652
Spistillat_668	Spi_isotig00653
Spistillat_669	Spi_isotig00654
Spistillat_670	Spi_isotig00655
Spistillat_671	Spi_isotig00656
Spistillat_672	Spi_isotig00657
Spistillat_673	Spi_isotig00658
Spistillat_674	Spi_isotig00659
Spistillat_675	Spi_isotig00660
Spistillat_676	Spi_isotig00661
Spistillat_677	Spi_isotig00662
Spistillat_678	Spi_isotig00663
Spistillat_679	Spi_isotig00664
Spistillat_680	Spi_isotig00665
Spistillat_681	Spi_isotig00666
Spistillat_682	Spi_isotig00667
Spistillat_683	Spi_isotig00668
Spistillat_684	Spi_isotig00669
Spistillat_685	Spi_isotig00670
Spistillat_686	Spi_isotig00671
Spistillat_687	Spi_isotig00672
Spistillat_688	Spi_isotig00673
Spistillat_689	Spi_isotig00674
Spistillat_690	Spi_isotig00675
Spistillat_691	Spi_isotig00676
Spistillat_692	Spi_isotig00677
Spistillat_693	Spi_isotig00678
Spistillat_694	Spi_isotig00679
Spistillat_695	Spi_isotig00680
Spistillat_696	Spi_isotig00681
Spistillat_697	Spi_isotig00682
Spistillat_698	Spi_isotig00683
Spistillat_699	Spi_isotig00684
Spistillat_700	Spi_isotig00685
