Apalmata_619	CAFB2102_g1_c
Apalmata_620	CAFB2103_b1_c
Apalmata_621	CAFB2106_b1_c
Apalmata_622	CAFB2108_b1_c
Apalmata_623	CAFB2109_b1_c
Apalmata_624	CAFB2111_b1_c
Apalmata_625	CAFB2114_b1_c
Apalmata_626	CAFB2116_b1_c
Apalmata_627	CAFB2123_b1_c
Apalmata_628	CAFB2124_b1_c
Apalmata_629	CAFB2125_b1_c
Apalmata_630	CAFB2126_b1_c
Apalmata_631	CAFB2129_b1_c
Apalmata_632	CAFB2129_g1_c
Apalmata_633	CAFB2133_b1_c
Apalmata_634	CAFB2137_b1_c
Apalmata_635	CAFB2138_b1_c
Apalmata_636	CAFB2139_b1_c
Apalmata_637	CAFB2141_b1_c
Apalmata_638	CAFB2143_b1_c
Apalmata_639	CAFB2144_b1_c
Apalmata_640	CAFB2146_b1_c
Apalmata_641	CAFB2147_b1_c
Apalmata_642	CAFB2148_b1_c
Apalmata_643	CAFB2152_b1_c
Apalmata_644	CAFB2154_b1_c
Apalmata_645	CAFB2157_b1_c
Apalmata_646	CAFB2158_b1_c
Apalmata_647	CAFB2159_b1_c
Apalmata_648	CAFB2159_g1_c
Apalmata_649	CAFB2166_b1_c
Apalmata_650	CAFB2167_b1_c
Apalmata_651	CAFB2168_b1_c
Apalmata_652	CAFB2170_b1_c
Apalmata_653	CAFB2171_b1_c
Apalmata_654	CAFB2173_b1_c
Apalmata_655	CAFB2176_b1_c
Apalmata_656	CAFB2177_b1_c
Apalmata_657	CAFB2178_b1_c
Apalmata_658	CAFB2181_b1_c
Apalmata_659	CAFB2183_b1_c
Apalmata_660	CAFB2192_b1_c
Apalmata_661	CAFB2193_b1_c
Apalmata_662	CAFB2195_b1_c
Apalmata_663	CAFB2196_b1_c
Apalmata_664	CAFB2197_b1_c
Apalmata_665	CAFB2199_b1_c
Apalmata_666	CAFB2200_b1_c
Apalmata_667	CAFB2205_b1_c
Apalmata_668	CAFB2208_b1_c
Apalmata_669	CAFB2209_b1_c
Apalmata_670	CAFB2212_b1_c
Apalmata_671	CAFB2214_b1_c
Apalmata_672	CAFB2216_b1_c
Apalmata_673	CAFB2216_g1_c
Apalmata_674	CAFB2218_b1_c
Apalmata_675	CAFB2218_g1_c
Apalmata_676	CAFB2222_b1_c
Apalmata_677	CAFB2223_b1_c
Apalmata_678	CAFB2224_b1_c
Apalmata_679	CAFB2226_b1_c
Apalmata_680	CAFB2226_g1_c
Apalmata_681	CAFB2230_b1_c
Apalmata_682	CAFB2233_b1_c
Apalmata_683	CAFB2236_b1_c
Apalmata_684	CAFB2236_g1_c
Apalmata_685	CAFB2237_b1_c
Apalmata_686	CAFB2237_g1_c
Apalmata_687	CAFB2238_g1_c
Apalmata_688	CAFB2239_g1_c
Apalmata_689	CAFB2242_b1_c
Apalmata_690	CAFB2243_b1_c
Apalmata_691	CAFB2244_b1_c
Apalmata_692	CAFB2245_b1_c
Apalmata_693	CAFB2247_b1_c
Apalmata_694	CAFB2248_b1_c
Apalmata_695	CAFB2251_b1_c
Apalmata_696	CAFB2252_b1_c
Apalmata_697	CAFB2254_b1_c
Apalmata_698	CAFB2255_b1_c
Apalmata_699	CAFB2256_b1_c
Apalmata_700	CAFB2257_b1_c
Apalmata_701	CAFB2258_b1_c
Apalmata_702	CAFB2262_b1_c
Apalmata_703	CAFB2263_b1_c
Apalmata_704	CAFB2264_b1_c
