Acervicorn_600	GASU01000600.1
Acervicorn_601	GASU01000601.1
Acervicorn_602	GASU01000602.1
Acervicorn_603	GASU01000603.1
Acervicorn_604	GASU01000604.1
Acervicorn_605	GASU01000605.1
Acervicorn_606	GASU01000606.1
Acervicorn_607	GASU01000607.1
Acervicorn_608	GASU01000608.1
Acervicorn_609	GASU01000609.1
Acervicorn_610	GASU01000610.1
Acervicorn_611	GASU01000611.1
Acervicorn_612	GASU01000612.1
Acervicorn_613	GASU01000613.1
Acervicorn_614	GASU01000614.1
Acervicorn_615	GASU01000615.1
Acervicorn_616	GASU01000616.1
Acervicorn_617	GASU01000617.1
Acervicorn_618	GASU01000618.1
Acervicorn_619	GASU01000619.1
Acervicorn_620	GASU01000620.1
Acervicorn_621	GASU01000621.1
Acervicorn_622	GASU01000622.1
Acervicorn_623	GASU01000623.1
Acervicorn_624	GASU01000624.1
Acervicorn_625	GASU01000625.1
Acervicorn_626	GASU01000626.1
Acervicorn_627	GASU01000627.1
Acervicorn_628	GASU01000628.1
Acervicorn_629	GASU01000629.1
Acervicorn_630	GASU01000630.1
Acervicorn_631	GASU01000631.1
Acervicorn_632	GASU01000632.1
Acervicorn_633	GASU01000633.1
Acervicorn_634	GASU01000634.1
Acervicorn_635	GASU01000635.1
Acervicorn_636	GASU01000636.1
Acervicorn_637	GASU01000637.1
Acervicorn_638	GASU01000638.1
Acervicorn_639	GASU01000639.1
Acervicorn_640	GASU01000640.1
Acervicorn_641	GASU01000641.1
Acervicorn_642	GASU01000642.1
Acervicorn_643	GASU01000643.1
Acervicorn_644	GASU01000644.1
Acervicorn_645	GASU01000645.1
Acervicorn_646	GASU01000646.1
Acervicorn_647	GASU01000647.1
Acervicorn_648	GASU01000648.1
Acervicorn_649	GASU01000649.1
Acervicorn_650	GASU01000650.1
Acervicorn_651	GASU01000651.1
Acervicorn_652	GASU01000652.1
Acervicorn_653	GASU01000653.1
Acervicorn_654	GASU01000654.1
Acervicorn_655	GASU01000655.1
Acervicorn_656	GASU01000656.1
Acervicorn_657	GASU01000657.1
Acervicorn_658	GASU01000658.1
Acervicorn_659	GASU01000659.1
Acervicorn_660	GASU01000660.1
Acervicorn_661	GASU01000661.1
Acervicorn_662	GASU01000662.1
Acervicorn_663	GASU01000663.1
Acervicorn_664	GASU01000664.1
Acervicorn_665	GASU01000665.1
Acervicorn_666	GASU01000666.1
Acervicorn_667	GASU01000667.1
Acervicorn_668	GASU01000668.1
Acervicorn_669	GASU01000669.1
Acervicorn_670	GASU01000670.1
Acervicorn_671	GASU01000671.1
Acervicorn_672	GASU01000672.1
Acervicorn_673	GASU01000673.1
Acervicorn_674	GASU01000674.1
Acervicorn_675	GASU01000675.1
Acervicorn_676	GASU01000676.1
Acervicorn_677	GASU01000677.1
Acervicorn_678	GASU01000678.1
Acervicorn_679	GASU01000679.1
Acervicorn_680	GASU01000680.1
Acervicorn_681	GASU01000681.1
Acervicorn_682	GASU01000682.1
Acervicorn_683	GASU01000683.1
Acervicorn_684	GASU01000684.1
Acervicorn_685	GASU01000685.1
Acervicorn_686	GASU01000686.1
Acervicorn_687	GASU01000687.1
Acervicorn_688	GASU01000688.1
Acervicorn_689	GASU01000689.1
Acervicorn_690	GASU01000690.1
Acervicorn_691	GASU01000691.1
Acervicorn_692	GASU01000692.1
Acervicorn_693	GASU01000693.1
Acervicorn_694	GASU01000694.1
Acervicorn_695	GASU01000695.1
Acervicorn_696	GASU01000696.1
Acervicorn_697	GASU01000697.1
Acervicorn_698	GASU01000698.1
Acervicorn_699	GASU01000699.1
Acervicorn_700	GASU01000700.1
Acervicorn_701	GASU01000701.1
Acervicorn_702	GASU01000702.1
Acervicorn_703	GASU01000703.1
Acervicorn_704	GASU01000704.1
Acervicorn_705	GASU01000705.1
Acervicorn_706	GASU01000706.1
Acervicorn_707	GASU01000707.1
Acervicorn_708	GASU01000708.1
Acervicorn_709	GASU01000709.1
Acervicorn_710	GASU01000710.1
Acervicorn_711	GASU01000711.1
Acervicorn_712	GASU01000712.1
Acervicorn_713	GASU01000713.1
Acervicorn_714	GASU01000714.1
Acervicorn_715	GASU01000715.1
Acervicorn_716	GASU01000716.1
Acervicorn_717	GASU01000717.1
Acervicorn_718	GASU01000718.1
Acervicorn_719	GASU01000719.1
Acervicorn_720	GASU01000720.1
Acervicorn_721	GASU01000721.1
Acervicorn_722	GASU01000722.1
Acervicorn_723	GASU01000723.1
Acervicorn_724	GASU01000724.1
Acervicorn_725	GASU01000725.1
Acervicorn_726	GASU01000726.1
Acervicorn_727	GASU01000727.1
Acervicorn_728	GASU01000728.1
