Plobata_744	c58886_g1_i2
Plobata_745	c58886_g1_i3
Plobata_746	c58871_g1_i1
Plobata_747	c58871_g2_i1
Plobata_748	c58871_g2_i2
Plobata_749	c58631_g2_i1
Plobata_750	c58631_g2_i2
Plobata_751	c58631_g2_i3
Plobata_752	c58631_g2_i4
Plobata_753	c58631_g2_i5
Plobata_754	c58751_g2_i1
Plobata_755	c58283_g2_i1
Plobata_756	c58453_g1_i1
Plobata_757	c58453_g1_i2
Plobata_758	c58453_g1_i3
Plobata_759	c58453_g1_i4
Plobata_760	c58394_g2_i2
Plobata_761	c58394_g2_i3
Plobata_762	c58394_g2_i4
Plobata_763	c58394_g2_i5
Plobata_764	c58725_g1_i2
Plobata_765	c58725_g1_i3
Plobata_766	c58725_g1_i4
Plobata_767	c58981_g1_i1
Plobata_768	c58885_g1_i1
Plobata_769	c58885_g1_i2
Plobata_770	c58885_g1_i3
Plobata_771	c58774_g1_i1
Plobata_772	c58774_g10_i1
Plobata_773	c58774_g11_i1
Plobata_774	c58774_g11_i2
Plobata_775	c58774_g11_i3
Plobata_776	c58083_g2_i2
Plobata_777	c58501_g1_i1
Plobata_778	c58501_g2_i1
Plobata_779	c58501_g3_i1
Plobata_780	c58501_g4_i4
Plobata_781	c59026_g1_i2
Plobata_782	c59026_g1_i3
Plobata_783	c59026_g2_i1
Plobata_784	c59026_g1_i4
Plobata_785	c59026_g1_i5
Plobata_786	c59026_g2_i2
Plobata_787	c59026_g4_i5
Plobata_788	c59026_g5_i2
Plobata_789	c59026_g8_i1
Plobata_790	c58521_g2_i1
Plobata_791	c58378_g1_i1
Plobata_792	c58378_g1_i2
Plobata_793	c58245_g1_i1
Plobata_794	c58990_g1_i1
Plobata_795	c58990_g1_i5
Plobata_796	c58990_g2_i2
Plobata_797	c58990_g1_i7
Plobata_798	c58792_g1_i1
Plobata_799	c58792_g1_i2
Plobata_800	c58792_g1_i3
Plobata_801	c58792_g1_i4
Plobata_802	c58792_g1_i5
Plobata_803	c58574_g1_i3
Plobata_804	c58574_g1_i5
Plobata_805	c58574_g1_i6
Plobata_806	c58574_g1_i8
Plobata_807	c58574_g1_i9
Plobata_808	c58830_g1_i1
Plobata_809	c58618_g1_i1
Plobata_810	c58618_g1_i2
Plobata_811	c58618_g1_i4
Plobata_812	c58618_g1_i5
Plobata_813	c58618_g1_i6
Plobata_814	c58217_g1_i1
Plobata_815	c58217_g1_i2
Plobata_816	c58953_g2_i1
Plobata_817	c58953_g2_i2
Plobata_818	c58185_g1_i1
Plobata_819	c58185_g1_i2
Plobata_820	c58185_g1_i3
Plobata_821	c58437_g4_i1
Plobata_822	c58437_g4_i3
Plobata_823	c58437_g4_i4
